DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/postgres/fields/__init__.py first seen with mtime 1734684350.002382
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/db/models/base.py first seen with mtime 1734684350.067382
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/admin/templatetags/__init__.py first seen with mtime 1734684349.9048822
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/unittest/util.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/email/encoders.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/db/migrations/__init__.py first seen with mtime 1734684350.067382
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/apps/registry.py first seen with mtime 1734684349.8290486
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/core/files/storage/memory.py first seen with mtime 1734684350.0565488
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/unittest/__init__.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/forms/utils.py first seen with mtime 1734684350.0782154
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/email/feedparser.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/asgiref/local.py first seen with mtime 1734684349.8290486
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/urls/utils.py first seen with mtime 1734684350.0890489
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/lib-dynload/_decimal.cpython-310-x86_64-linux-gnu.so first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/email/charset.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/os.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/db/models/functions/comparison.py first seen with mtime 1734684350.067382
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/difflib.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/auth/signals.py first seen with mtime 1734684349.937382
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/asyncio/format_helpers.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/core/checks/async_checks.py first seen with mtime 1734684350.0565488
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/shutil.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/corsheaders/__init__.py first seen with mtime 1734684349.8290486
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/utils/encoding.py first seen with mtime 1734684350.0890489
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/keyword.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/datetime.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/db/models/fields/json.py first seen with mtime 1734684350.067382
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1734684349.9048822
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1734684350.034882
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/postgres/fields/array.py first seen with mtime 1734684350.002382
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/core/files/storage/mixins.py first seen with mtime 1734684350.0565488
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/forms/forms.py first seen with mtime 1734684350.0782154
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/email/_header_value_parser.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/dispatch/dispatcher.py first seen with mtime 1734684350.0782154
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/postgres/utils.py first seen with mtime 1734684350.0132153
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/lib-dynload/_queue.cpython-310-x86_64-linux-gnu.so first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1734684349.937382
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/forms/fields.py first seen with mtime 1734684350.0782154
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/template/exceptions.py first seen with mtime 1734684350.0782154
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/asyncio/unix_events.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/functools.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/db/models/fields/mixins.py first seen with mtime 1734684350.067382
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/threading.py first seen with mtime 1730924533.0
